premise	hypothesis	us_ratings	in_ratings
Changing jobs frequently is the best way to make sure you never get too comfortable.	Becoming too comfortable in one's job is the best way to have career growth.	['C', 'C', 'C', 'C', 'C']	['C', 'E', 'C', 'C', 'C']
Changing jobs frequently is the best way to make sure you never get too comfortable.	Changing jobs frequently can make people feel uncomfortable.	['C', 'N', 'C', 'C', 'N']	['N', 'C', 'N', 'N', 'E']
The experienced batter hit the ball hard and scored six runs.	The batter hit the ball out of the boundary.	['E', 'E', 'E', 'N', 'E']	['E', 'E', 'N', 'E', 'E']
The experienced batter hit the ball hard and scored six runs.	The batter made it difficult for the fielding team to retrieve the ball quickly.	['E', 'E', 'E', 'E', 'N']	['N', 'N', 'E', 'N', 'N']
The experienced batter hit the ball hard and scored six runs.	The batter ran back and forth to score runs.	['C', 'E', 'C', 'E', 'C']	['N', 'C', 'N', 'C', 'C']
The customer left a tip for the waiter at the restaurant.	The customer was satisfied with the excellent service.	['E', 'E', 'N', 'N', 'N']	['E', 'E', 'E', 'E', 'N']
The customer left a tip for the waiter at the restaurant.	The customer had a good experience at the restaurant.	['E', 'E', 'N', 'N', 'N']	['E', 'E', 'E', 'E', 'N']
The customer left a tip for the waiter at the restaurant.	The customer was criticizing the quality of the service.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Be careful when you order at a restaurant: egg omelets may contain pancake batter; roasted potatoes may be coated with flour; green tea may have barley in it.	Be cautious that restaurants' menus may have hidden ingredients that can cause allergies.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'N', 'C', 'N']
Be careful when you order at a restaurant: egg omelets may contain pancake batter; roasted potatoes may be coated with flour; green tea may have barley in it.	Be cautious that restaurants may substitute ingredients with cheaper alternatives.	['C', 'C', 'C', 'C', 'C']	['N', 'N', 'N', 'N', 'N']
Be careful when you order at a restaurant: egg omelets may contain pancake batter; roasted potatoes may be coated with flour; green tea may have barley in it.	Be cautious when dining out if you are on a gluten-free diet.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'N', 'N', 'N']
It's funny how his friends always have a good laugh about him whenever someone brings up leaving a tip for the waiter.	His friend's group is cheap and does not believe in tipping.	['N', 'C', 'C', 'C', 'C']	['N', 'N', 'N', 'N', 'C']
It's funny how his friends always have a good laugh about him whenever someone brings up leaving a tip for the waiter.	His friend's group has an inside joke about him always leaving a tip for the waiter .	['N', 'C', 'N', 'N', 'C']	['N', 'E', 'N', 'N', 'N']
It's funny how his friends always have a good laugh about him whenever someone brings up leaving a tip for the waiter.	His friend's group knows he has a history of not leaving tips for waiters.	['E', 'E', 'E', 'N', 'E']	['N', 'N', 'E', 'N', 'N']
It might be worth reconsidering your tipping practices to support the idea of fair wages for service staff.	You should reconsider your tipping practices as a way to contribute to fair wages.	['N', 'E', 'N', 'E', 'E']	['N', 'E', 'E', 'N', 'E']
It might be worth reconsidering your tipping practices to support the idea of fair wages for service staff.	You might want to stop tipping service staff as a way to contribute to fair wages.	['N', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'C', 'N']
It might be worth reconsidering your tipping practices to support the idea of fair wages for service staff.	You might want to consider leaving a tip as a way to contribute to fair wages.	['N', 'E', 'N', 'E', 'E']	['E', 'E', 'E', 'N', 'N']
Our motorcycle can hold more people than a car!	Our cars have lower quality than motorcycles.	['C', 'C', 'C', 'C', 'C']	['C', 'N', 'E', 'C', 'C']
Our motorcycle can hold more people than a car!	Our motorcycles are more practical than cars.	['N', 'N', 'E', 'E', 'E']	['N', 'N', 'E', 'C', 'N']
Our motorcycle can hold more people than a car!	Our people strongly prefer motorcycles over cars.	['N', 'N', 'C', 'N', 'N']	['N', 'E', 'N', 'C', 'N']
He casually took a slice of pizza from his friend's plate, biting into it.	The friend was surprised he took a slice of pizza.	['N', 'N', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'N']
He casually took a slice of pizza from his friend's plate, biting into it.	His friend did not object to him taking a slice of pizza.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'C']
He casually took a slice of pizza from his friend's plate, biting into it.	His friend had a slice of pizza on their plate.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'C']
As I approached his bronze statue, I could see the bright spot on his left foot. I gently rubbed his toe.	The speaker was paying their respects to the statue.	['N', 'N', 'E', 'N', 'N']	['N', 'E', 'N', 'N', 'N']
As I approached his bronze statue, I could see the bright spot on his left foot. I gently rubbed his toe.	The speaker was the only one rubbing the statue.	['C', 'C', 'C', 'N', 'E']	['N', 'N', 'N', 'N', 'N']
As I approached his bronze statue, I could see the bright spot on his left foot. I gently rubbed his toe.	The speaker touched the statue for good luck.	['N', 'E', 'E', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
As I reach the front of the class, I bend down and extend my hand to greet the guru.	The person was seeking blessings from the guru.	['N', 'C', 'E', 'N', 'N']	['N', 'E', 'E', 'E', 'E']
As I reach the front of the class, I bend down and extend my hand to greet the guru.	The person was making a handshake with the guru.	['E', 'E', 'E', 'E', 'N']	['E', 'C', 'E', 'N', 'N']
As I reach the front of the class, I bend down and extend my hand to greet the guru.	The person was handing the guru a present.	['C', 'C', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
With each furniture piece unwrapped from the wedding gifts, the couple knew their guests had gone above and beyond to make their new house feel like a home.	The couple were not expecting their guests to give furniture as gifts.	['N', 'E', 'N', 'N', 'N']	['N', 'E', 'E', 'N', 'N']
With each furniture piece unwrapped from the wedding gifts, the couple knew their guests had gone above and beyond to make their new house feel like a home.	The couple were not expecting their guests to help with unpacking.	['C', 'C', 'C', 'C', 'E']	['N', 'N', 'C', 'C', 'C']
With each furniture piece unwrapped from the wedding gifts, the couple knew their guests had gone above and beyond to make their new house feel like a home.	The couple asked their guests to give furniture as gifts.	['N', 'N', 'N', 'N', 'N']	['C', 'N', 'C', 'C', 'C']
Tata Nano, the world's cheapest family car, is possibly inspired by families in the villages who are often seen squeezed onto a single ride.	Tata Nano was created to cater to the needs of families in villages.	['N', 'E', 'E', 'N', 'N']	['E', 'N', 'E', 'N', 'N']
Tata Nano, the world's cheapest family car, is possibly inspired by families in the villages who are often seen squeezed onto a single ride.	Families in the villages struggled to commute in larger vehicles due to their economic status.	['N', 'E', 'E', 'E', 'N']	['N', 'N', 'E', 'N', 'E']
Tata Nano, the world's cheapest family car, is possibly inspired by families in the villages who are often seen squeezed onto a single ride.	Families in the villages are often seen squeezed onto a single scooter.	['C', 'C', 'E', 'N', 'E']	['E', 'E', 'N', 'N', 'E']
Nothing says "effective" like a spank on your child who just caused troubles at school.	Using physical punishment is an effective way to discipline children.	['C', 'N', 'E', 'E', 'E']	['C', 'E', 'C', 'E', 'C']
Nothing says "effective" like a spank on your child who just caused troubles at school.	Spanking a child is not an effective way to address their behavior.	['E', 'E', 'C', 'C', 'C']	['E', 'C', 'N', 'C', 'N']
Nothing says "effective" like a spank on your child who just caused troubles at school.	Spanking a child is only effective for handling disciplinary issues at school.	['C', 'C', 'C', 'N', 'C']	['C', 'N', 'N', 'N', 'N']
Part of her wedding preparation was hunting down gift items online that span a broad spectrum of choices.	The bride-to-be was preparing for her wedding.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'C', 'N']
Part of her wedding preparation was hunting down gift items online that span a broad spectrum of choices.	She was searching online to find gifts for herself.	['E', 'C', 'C', 'N', 'E']	['C', 'E', 'E', 'C', 'N']
Part of her wedding preparation was hunting down gift items online that span a broad spectrum of choices.	Her search included a wide variety of options to give her guests.	['C', 'E', 'E', 'C', 'C']	['E', 'E', 'N', 'N', 'N']
Their shy smile acts like a magnet, effortlessly greeting people on the street they encountered.	They use their shy smile as a way to attract attention from people on the street.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'N', 'N']
Their shy smile acts like a magnet, effortlessly greeting people on the street they encountered.	Their smile has a magnetic effect on people who they pass by on the street.	['E', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'N', 'E']
Their shy smile acts like a magnet, effortlessly greeting people on the street they encountered.	Their shy smile has an effect on themselves.	['C', 'C', 'C', 'N', 'C']	['C', 'C', 'N', 'N', 'C']
A glamorous outdoor party calls for a stunning saree to make a statement, embracing the elegance of the occasion.	A formal dress is appropriate attire for a glamorous outdoor party.	['E', 'N', 'N', 'E', 'E']	['N', 'E', 'C', 'N', 'E']
A glamorous outdoor party calls for a stunning saree to make a statement, embracing the elegance of the occasion.	The dress code for the glamorous outdoor party is formal.	['E', 'N', 'N', 'C', 'E']	['N', 'E', 'C', 'N', 'C']
A glamorous outdoor party calls for a stunning saree to make a statement, embracing the elegance of the occasion.	Wearing a suit to a glamorous outdoor party makes the desired statement.	['N', 'C', 'C', 'E', 'C']	['N', 'C', 'N', 'C', 'N']
When asked if the violence issue is common, she replied "No, it's common."	She agreed with the person who asked the question.	['N', 'N', 'N', 'C', 'C']	['N', 'E', 'E', 'E', 'C']
When asked if the violence issue is common, she replied "No, it's common."	She disagreed with the person who asked the question.	['N', 'C', 'C', 'E', 'E']	['N', 'C', 'C', 'C', 'C']
When asked if the violence issue is common, she replied "No, it's common."	She tried to be polite to the person who asked the question.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
When asked if the gender stereotype is changing, she said "No, but nowadays I think it is changing, no?"	She thinks gender stereotypes are changing.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'E', 'N']
When asked if the gender stereotype is changing, she said "No, but nowadays I think it is changing, no?"	She is not sure if gender stereotypes are changing.	['N', 'N', 'E', 'N', 'E']	['N', 'E', 'C', 'C', 'N']
When asked if the gender stereotype is changing, she said "No, but nowadays I think it is changing, no?"	She thinks gender stereotypes are not changing.	['C', 'N', 'N', 'C', 'C']	['N', 'C', 'C', 'C', 'N']
I said "They are not helping at all.", to which she replied "They are not helping at all."	She was not interested in the conversation.	['N', 'C', 'C', 'C', 'E']	['C', 'C', 'N', 'C', 'C']
I said "They are not helping at all.", to which she replied "They are not helping at all."	She was indicating an emphatic agreement.	['E', 'E', 'E', 'E', 'N']	['E', 'N', 'E', 'C', 'N']
